Time:2019/12/10 18:33:54.600 Elapsed Time Since Last Shot:71920ms
Observation Period:30s Sampling Interval:20ms
Shot:23936
Module  1:11171007 (MODULE1)
Data Attribute:30,20,PPPPPPPP
========================================
Elapsed Time,1:SENSOR1, 2:SENSOR2, 3:SENSOR3, 4:SENSOR4, 5:SENSOR5, 6:SENSOR6, 7:SENSOR7, 8:SENSOR8
0.86,0.7, 0.8, , , , , , 
0.88,0.7, 0.8, , , , , , 
0.9,0.6, 0.8, , , , , , 
0.92,0.6, 0.7, , , , , , 
0.94,0.7, 0.7, , , , , , 
0.96,0.7, 0.7, , , , , , 
0.98,0.7, 0.7, , , , , , 
1,0.7, 0.7, , , , , , 
1.02,0.7, 0.7, , , , , , 
1.04,0.6, 0.8, , , , , , 
1.06,0.7, 0.8, , , , , , 
1.08,0.6, 0.8, , , , , , 
1.1,0.6, 0.8, , , , , , 
1.12,0.7, 0.8, , , , , , 
1.14,0.6, 0.8, , , , , , 
1.16,0.6, 0.8, , , , , , 
1.18,0.6, 0.8, , , , , , 
1.2,0.6, 0.8, , , , , , 
1.22,0.7, 0.8, , , , , , 
1.24,0.7, 0.7, , , , , , 
1.26,0.7, 0.8, , , , , , 
1.28,0.7, 0.8, , , , , , 
1.3,0.7, 0.7, , , , , , 
1.32,0.7, 0.8, , , , , , 
1.34,0.6, 0.8, , , , , , 
1.36,0.6, 0.8, , , , , , 
1.38,0.7, 0.8, , , , , , 
1.4,0.7, 0.7, , , , , , 
1.42,0.7, 0.7, , , , , , 
1.44,0.7, 0.8, , , , , , 
1.46,0.7, 0.7, , , , , , 
1.48,0.6, 0.7, , , , , , 
1.5,0.6, 0.7, , , , , , 
1.52,0.5, 0.7, , , , , , 
1.54,0.6, 0.7, , , , , , 
1.56,0.6, 0.8, , , , , , 
1.58,0.6, 0.7, , , , , , 
1.6,0.6, 0.7, , , , , , 
1.62,0.6, 0.8, , , , , , 
1.64,0.6, 0.7, , , , , , 
1.66,0.6, 0.7, , , , , , 
1.68,0.5, 0.7, , , , , , 
1.7,0.6, 0.7, , , , , , 
1.72,0.6, 0.6, , , , , , 
1.74,0.6, 0.7, , , , , , 
1.76,0.6, 0.7, , , , , , 
1.78,0.6, 0.7, , , , , , 
1.8,0.6, 0.7, , , , , , 
1.82,0.6, 0.6, , , , , , 
1.84,0.6, 0.6, , , , , , 
1.86,0.6, 0.6, , , , , , 
1.88,0.6, 0.6, , , , , , 
1.9,0.6, 0.6, , , , , , 
1.92,0.6, 0.6, , , , , , 
1.94,0.6, 0.6, , , , , , 
1.96,0.6, 0.7, , , , , , 
1.98,0.6, 0.6, , , , , , 
2,0.6, 0.7, , , , , , 
2.02,0.5, 0.7, , , , , , 
2.04,0.5, 0.7, , , , , , 
2.06,0.5, 0.7, , , , , , 
2.08,0.5, 0.7, , , , , , 
2.1,0.5, 0.6, , , , , , 
2.12,0.5, 0.6, , , , , , 
2.14,0.5, 0.6, , , , , , 
2.16,0.6, 0.6, , , , , , 
2.18,0.5, 0.6, , , , , , 
2.2,0.5, 0.7, , , , , , 
2.22,0.5, 0.6, , , , , , 
2.24,0.5, 0.6, , , , , , 
2.26,0.5, 0.6, , , , , , 
2.28,0.5, 0.6, , , , , , 
2.3,0.5, 0.6, , , , , , 
2.32,0.5, 0.6, , , , , , 
2.34,0.5, 0.6, , , , , , 
2.36,0.5, 0.6, , , , , , 
2.38,0.5, 0.6, , , , , , 
2.4,0.5, 0.6, , , , , , 
2.42,0.5, 0.6, , , , , , 
2.44,0.5, 0.6, , , , , , 
2.46,0.5, 0.6, , , , , , 
2.48,0.5, 0.6, , , , , , 
2.5,0.5, 0.7, , , , , , 
2.52,0.5, 0.6, , , , , , 
2.54,0.4, 0.6, , , , , , 
2.56,0.4, 0.6, , , , , , 
2.58,0.5, 0.7, , , , , , 
2.6,0.5, 0.6, , , , , , 
2.62,0.4, 0.6, , , , , , 
2.64,0.5, 0.6, , , , , , 
2.66,0.5, 0.6, , , , , , 
2.68,0.4, 0.6, , , , , , 
2.7,0.5, 0.6, , , , , , 
2.72,0.5, 0.6, , , , , , 
2.74,0.4, 0.6, , , , , , 
2.76,0.5, 0.6, , , , , , 
2.78,0.5, 0.6, , , , , , 
2.8,0.4, 0.5, , , , , , 
2.82,0.4, 0.6, , , , , , 
2.84,0.5, 0.6, , , , , , 
2.86,0.5, 0.6, , , , , , 
2.88,0.5, 0.6, , , , , , 
2.9,0.5, 0.6, , , , , , 
2.92,0.5, 0.6, , , , , , 
2.94,0.5, 0.6, , , , , , 
2.96,0.5, 0.6, , , , , , 
2.98,0.5, 0.6, , , , , , 
3,0.4, 0.6, , , , , , 
3.02,0.4, 0.6, , , , , , 
3.04,0.5, 0.5, , , , , , 
3.06,0.4, 0.5, , , , , , 
3.08,0.4, 0.6, , , , , , 
3.1,0.4, 0.6, , , , , , 
3.12,0.4, 0.6, , , , , , 
3.14,0.5, 0.6, , , , , , 
3.16,0.5, 0.6, , , , , , 
3.18,0.5, 0.6, , , , , , 
3.2,0.5, 0.6, , , , , , 
3.22,0.5, 0.6, , , , , , 
3.24,0.5, 0.6, , , , , , 
3.26,0.5, 0.6, , , , , , 
3.28,0.5, 0.6, , , , , , 
3.3,0.4, 0.6, , , , , , 
3.32,0.4, 0.6, , , , , , 
3.34,0.5, 0.6, , , , , , 
3.36,0.4, 0.6, , , , , , 
3.38,0.4, 0.6, , , , , , 
3.4,0.4, 0.6, , , , , , 
3.42,0.5, 0.6, , , , , , 
3.44,0.4, 0.6, , , , , , 
3.46,0.4, 0.6, , , , , , 
3.48,0.5, 0.6, , , , , , 
3.5,0.4, 0.6, , , , , , 
3.52,0.4, 0.7, , , , , , 
3.54,0.4, 0.8, , , , , , 
3.56,0.4, 1.8, , , , , , 
3.58,0.4, 2.8, , , , , , 
3.6,0.4, 3.9, , , , , , 
3.62,0.4, 4.5, , , , , , 
3.64,0.4, 5, , , , , , 
3.66,0.4, 5.4, , , , , , 
3.68,0.4, 5.6, , , , , , 
3.7,0.5, 5.8, , , , , , 
3.72,0.4, 5.9, , , , , , 
3.74,0.4, 6.1, , , , , , 
3.76,0.4, 6.2, , , , , , 
3.78,0.4, 6.2, , , , , , 
3.8,0.4, 6.3, , , , , , 
3.82,0.3, 6.3, , , , , , 
3.84,0.4, 6.3, , , , , , 
3.86,0.4, 6.4, , , , , , 
3.88,0.4, 6.4, , , , , , 
3.9,0.3, 6.3, , , , , , 
3.92,0.4, 6.4, , , , , , 
3.94,0.4, 6.3, , , , , , 
3.96,0.4, 6.3, , , , , , 
3.98,0.4, 6.4, , , , , , 
4,0.4, 6.4, , , , , , 
4.02,0.4, 6.4, , , , , , 
4.04,0.4, 6.4, , , , , , 
4.06,0.4, 6.4, , , , , , 
4.08,0.4, 6.4, , , , , , 
4.1,0.4, 6.4, , , , , , 
4.12,0.4, 6.5, , , , , , 
4.14,0.4, 6.5, , , , , , 
4.16,0.4, 6.5, , , , , , 
4.18,0.4, 6.5, , , , , , 
4.2,0.3, 6.5, , , , , , 
4.22,0.4, 6.4, , , , , , 
4.24,0.4, 6.3, , , , , , 
4.26,0.4, 6.3, , , , , , 
4.28,0.4, 6.3, , , , , , 
4.3,0.3, 6.2, , , , , , 
4.32,0.3, 6, , , , , , 
4.34,0.3, 6, , , , , , 
4.36,0.4, 5.9, , , , , , 
4.38,0.4, 5.8, , , , , , 
4.4,0.4, 5.7, , , , , , 
4.42,0.4, 5.6, , , , , , 
4.44,0.4, 5.5, , , , , , 
4.46,0.5, 5.5, , , , , , 
4.48,0.5, 5.3, , , , , , 
4.5,0.4, 5.3, , , , , , 
4.52,0.4, 5.2, , , , , , 
4.54,0.4, 5.2, , , , , , 
4.56,0.4, 5.1, , , , , , 
4.58,0.4, 5, , , , , , 
4.6,0.4, 5, , , , , , 
4.62,0.4, 4.9, , , , , , 
4.64,0.5, 4.8, , , , , , 
4.66,0.4, 4.7, , , , , , 
4.68,0.4, 4.6, , , , , , 
4.7,0.4, 4.6, , , , , , 
4.72,0.4, 4.6, , , , , , 
4.74,0.4, 4.5, , , , , , 
4.76,0.4, 4.4, , , , , , 
4.78,0.4, 4.3, , , , , , 
4.8,0.4, 4.3, , , , , , 
4.82,0.4, 4.2, , , , , , 
4.84,0.4, 4.2, , , , , , 
4.86,0.4, 4.1, , , , , , 
4.88,0.4, 4.1, , , , , , 
4.9,0.4, 4, , , , , , 
4.92,0.4, 4, , , , , , 
4.94,0.4, 3.9, , , , , , 
4.96,0.4, 3.9, , , , , , 
4.98,0.4, 3.7, , , , , , 
5,0.4, 3.7, , , , , , 
5.02,0.4, 3.7, , , , , , 
5.04,0.3, 3.6, , , , , , 
5.06,0.3, 3.6, , , , , , 
5.08,0.4, 3.5, , , , , , 
5.1,0.4, 3.5, , , , , , 
5.12,0.4, 3.5, , , , , , 
5.14,0.3, 3.4, , , , , , 
5.16,0.2, 3.4, , , , , , 
5.18,0.3, 3.4, , , , , , 
5.2,0.3, 3.4, , , , , , 
5.22,0.3, 3.3, , , , , , 
5.24,0.4, 3.2, , , , , , 
5.26,0.4, 3.2, , , , , , 
5.28,0.4, 3.1, , , , , , 
5.3,0.3, 3.1, , , , , , 
5.32,0.4, 3.1, , , , , , 
5.34,0.4, 3.1, , , , , , 
5.36,0.3, 3, , , , , , 
5.38,0.4, 3, , , , , , 
5.4,0.4, 3, , , , , , 
5.42,0.3, 3, , , , , , 
5.44,0.3, 3, , , , , , 
5.46,0.4, 3, , , , , , 
5.48,0.4, 3, , , , , , 
5.5,0.4, 3, , , , , , 
5.52,0.4, 3, , , , , , 
5.54,0.3, 3.1, , , , , , 
5.56,0.3, 3, , , , , , 
5.58,0.3, 3.1, , , , , , 
5.6,0.3, 3.1, , , , , , 
5.62,0.3, 3.1, , , , , , 
5.64,0.3, 3, , , , , , 
5.66,0.3, 3, , , , , , 
5.68,0.3, 3, , , , , , 
5.7,0.4, 3, , , , , , 
5.72,0.4, 3, , , , , , 
5.74,0.3, 3, , , , , , 
5.76,0.4, 2.9, , , , , , 
5.78,0.3, 2.8, , , , , , 
5.8,0.3, 2.9, , , , , , 
5.82,0.4, 2.9, , , , , , 
5.84,0.4, 2.8, , , , , , 
5.86,0.4, 2.8, , , , , , 
5.88,0.3, 2.8, , , , , , 
5.9,0.3, 2.8, , , , , , 
5.92,0.3, 2.8, , , , , , 
5.94,0.3, 2.8, , , , , , 
5.96,0.4, 2.9, , , , , , 
5.98,0.4, 3, , , , , , 
6,0.3, 3, , , , , , 
6.02,0.3, 3, , , , , , 
6.04,0.3, 3, , , , , , 
6.06,0.3, 3, , , , , , 
6.08,0.4, 3, , , , , , 
6.1,0.4, 3, , , , , , 
6.12,0.4, 3, , , , , , 
6.14,0.4, 2.9, , , , , , 
6.16,0.4, 2.9, , , , , , 
6.18,0.3, 2.9, , , , , , 
6.2,0.3, 2.9, , , , , , 
6.22,0.3, 2.8, , , , , , 
6.24,0.3, 2.8, , , , , , 
6.26,0.4, 2.8, , , , , , 
6.28,0.4, 2.8, , , , , , 
6.3,0.3, 2.8, , , , , , 
6.32,0.3, 2.8, , , , , , 
6.34,0.3, 2.9, , , , , , 
6.36,0.3, 2.9, , , , , , 
6.38,0.3, 2.9, , , , , , 
6.4,0.4, 2.9, , , , , , 
6.42,0.4, 3, , , , , , 
6.44,0.3, 10.9, , , , , , 
6.46,0.3, 13.4, , , , , , 
6.48,0.4, 14.5, , , , , , 
6.5,0.4, 14.5, , , , , , 
6.52,0.4, 14.5, , , , , , 
6.54,0.4, 14.4, , , , , , 
6.56,0.3, 14.3, , , , , , 
6.58,0.3, 14.2, , , , , , 
6.6,0.4, 14.1, , , , , , 
6.62,0.4, 14, , , , , , 
6.64,0.4, 13.8, , , , , , 
6.66,0.4, 11.5, , , , , , 
6.68,0.4, 3, , , , , , 
6.7,0.4, 1.9, , , , , , 
6.72,0.4, 1.9, , , , , , 
6.74,0.4, 2, , , , , , 
6.76,0.4, 2.1, , , , , , 
6.78,0.4, 2.1, , , , , , 
6.8,0.3, 2.2, , , , , , 
6.82,0.3, 2.2, , , , , , 
6.84,0.4, 2.3, , , , , , 
6.86,0.4, 2.3, , , , , , 
6.88,0.4, 2.3, , , , , , 
6.9,0.4, 2.2, , , , , , 
6.92,0.4, 2.2, , , , , , 
6.94,0.4, 2.2, , , , , , 
6.96,0.3, 2.2, , , , , , 
6.98,0.4, 2.2, , , , , , 
7,0.4, 2.2, , , , , , 
7.02,0.4, 2.1, , , , , , 
7.04,0.4, 2.2, , , , , , 
7.06,0.3, 2.1, , , , , , 
7.08,0.4, 2.1, , , , , , 
7.1,0.4, 2, , , , , , 
7.12,0.4, 2, , , , , , 
7.14,0.4, 2, , , , , , 
7.16,0.4, 2, , , , , , 
7.18,0.4, 2, , , , , , 
7.2,0.4, 1.9, , , , , , 
7.22,0.4, 1.9, , , , , , 
7.24,0.4, 2, , , , , , 
7.26,0.3, 1.9, , , , , , 
7.28,0.3, 1.9, , , , , , 
7.3,0.4, 1.9, , , , , , 
7.32,0.3, 1.8, , , , , , 
7.34,0.4, 1.8, , , , , , 
7.36,0.3, 1.8, , , , , , 
7.38,0.3, 1.8, , , , , , 
7.4,0.4, 1.8, , , , , , 
7.42,0.4, 1.7, , , , , , 
7.44,0.4, 1.7, , , , , , 
7.46,0.3, 1.7, , , , , , 
7.48,0.3, 1.7, , , , , , 
7.5,0.4, 1.6, , , , , , 
7.52,0.4, 1.6, , , , , , 
7.54,0.4, 1.6, , , , , , 
7.56,0.3, 1.6, , , , , , 
7.58,0.4, 1.6, , , , , , 
7.6,0.4, 1.6, , , , , , 
7.62,0.4, 1.5, , , , , , 
7.64,0.4, 1.6, , , , , , 
7.66,0.3, 1.5, , , , , , 
7.68,0.3, 1.5, , , , , , 
7.7,0.3, 1.5, , , , , , 
7.72,0.3, 1.5, , , , , , 
7.74,0.3, 1.5, , , , , , 
7.76,0.3, 1.5, , , , , , 
7.78,0.3, 1.5, , , , , , 
7.8,0.3, 1.5, , , , , , 
7.82,0.4, 1.5, , , , , , 
7.84,0.4, 1.4, , , , , , 
7.86,0.3, 1.4, , , , , , 
7.88,0.3, 1.4, , , , , , 
7.9,0.3, 1.4, , , , , , 
7.92,0.3, 1.4, , , , , , 
7.94,0.3, 1.3, , , , , , 
7.96,0.3, 1.3, , , , , , 
7.98,0.3, 1.3, , , , , , 
8,0.4, 1.2, , , , , , 
8.02,0.4, 1.2, , , , , , 
8.04,0.3, 1.2, , , , , , 
8.06,0.4, 1.2, , , , , , 
8.08,0.4, 1.2, , , , , , 
8.1,0.4, 1.3, , , , , , 
8.12,0.4, 1.2, , , , , , 
8.14,0.3, 1.2, , , , , , 
8.16,0.3, 1.3, , , , , , 
8.18,0.3, 1.2, , , , , , 
8.2,0.4, 1.2, , , , , , 
8.22,0.4, 1.2, , , , , , 
8.24,0.3, 1.2, , , , , , 
8.26,0.3, 1.1, , , , , , 
8.28,0.3, 1.2, , , , , , 
8.3,0.3, 1.1, , , , , , 
8.32,0.3, 1.1, , , , , , 
8.34,0.3, 1.1, , , , , , 
8.36,0.3, 1.2, , , , , , 
8.38,0.4, 1.1, , , , , , 
8.4,0.3, 1.1, , , , , , 
8.42,0.3, 1.1, , , , , , 
8.44,0.2, 1, , , , , , 
8.46,0.4, 1, , , , , , 
8.48,0.3, 1, , , , , , 
8.5,0.3, 1.1, , , , , , 
8.52,0.4, 1.1, , , , , , 
8.54,0.4, 1.1, , , , , , 
8.56,0.4, 1.1, , , , , , 
8.58,0.3, 1, , , , , , 
8.6,0.3, 1.1, , , , , , 
8.62,0.3, 1.1, , , , , , 
8.64,0.3, 1, , , , , , 
8.66,0.3, 1, , , , , , 
8.68,0.3, 1.1, , , , , , 
8.7,0.3, 1, , , , , , 
8.72,0.3, 1, , , , , , 
8.74,0.3, 1, , , , , , 
8.76,0.3, 1, , , , , , 
8.78,0.3, 1, , , , , , 
8.8,0.3, 1, , , , , , 
8.82,0.3, 0.9, , , , , , 
8.84,0.3, 0.9, , , , , , 
8.86,0.4, 0.9, , , , , , 
8.88,0.3, 0.9, , , , , , 
8.9,0.3, 0.9, , , , , , 
8.92,0.4, 0.9, , , , , , 
8.94,0.3, 0.9, , , , , , 
8.96,0.3, 0.8, , , , , , 
8.98,0.3, 0.9, , , , , , 
9,0.4, 0.9, , , , , , 
9.02,0.3, 0.9, , , , , , 
9.04,0.4, 0.9, , , , , , 
9.06,0.3, 0.8, , , , , , 
9.08,0.4, 0.8, , , , , , 
9.1,0.4, 0.9, , , , , , 
9.12,0.4, 0.9, , , , , , 
9.14,0.3, 0.8, , , , , , 
9.16,0.3, 0.9, , , , , , 
9.18,0.3, 0.9, , , , , , 
9.2,0.3, 0.8, , , , , , 
9.22,0.3, 0.8, , , , , , 
9.24,0.3, 0.9, , , , , , 
9.26,0.4, 0.9, , , , , , 
9.28,0.4, 0.9, , , , , , 
9.3,0.4, 0.8, , , , , , 
9.32,0.4, 0.8, , , , , , 
9.34,0.4, 0.8, , , , , , 
9.36,0.4, 0.8, , , , , , 
9.38,0.4, 0.8, , , , , , 
9.4,0.4, 0.7, , , , , , 
9.42,0.3, 0.7, , , , , , 
9.44,0.4, 0.8, , , , , , 
9.46,0.4, 0.7, , , , , , 
9.48,0.4, 0.8, , , , , , 
9.5,0.3, 0.8, , , , , , 
9.52,0.3, 0.8, , , , , , 
9.54,0.3, 0.8, , , , , , 
9.56,0.3, 0.8, , , , , , 
9.58,0.3, 0.8, , , , , , 
9.6,0.3, 0.8, , , , , , 
9.62,0.3, 0.8, , , , , , 
9.64,0.3, 0.8, , , , , , 
9.66,0.3, 0.8, , , , , , 
9.68,0.3, 0.7, , , , , , 
9.7,0.3, 0.8, , , , , , 
9.72,0.3, 0.8, , , , , , 
9.74,0.3, 0.8, , , , , , 
9.76,0.4, 0.7, , , , , , 
9.78,0.4, 0.8, , , , , , 
9.8,0.4, 0.7, , , , , , 
9.82,0.4, 0.7, , , , , , 
9.84,0.3, 0.7, , , , , , 
9.86,0.3, 0.7, , , , , , 
9.88,0.3, 0.7, , , , , , 
9.9,0.3, 0.7, , , , , , 
9.92,0.3, 0.7, , , , , , 
9.94,0.3, 0.7, , , , , , 
9.96,0.3, 0.7, , , , , , 
9.98,0.3, 0.7, , , , , , 
10,0.3, 0.7, , , , , , 
10.02,0.3, 0.7, , , , , , 
10.04,0.2, 0.7, , , , , , 
10.06,0.3, 0.7, , , , , , 
10.08,0.3, 0.6, , , , , , 
10.1,0.3, 0.7, , , , , , 
10.12,0.3, 0.7, , , , , , 
10.14,0.3, 0.7, , , , , , 
10.16,0.3, 0.7, , , , , , 
10.18,0.3, 0.7, , , , , , 
10.2,0.3, 0.6, , , , , , 
10.22,0.3, 0.6, , , , , , 
10.24,0.3, 0.6, , , , , , 
10.26,0.3, 0.6, , , , , , 
10.28,0.3, 0.7, , , , , , 
10.3,0.3, 0.7, , , , , , 
10.32,0.3, 0.7, , , , , , 
10.34,0.3, 0.7, , , , , , 
10.36,0.3, 0.7, , , , , , 
10.38,0.4, 0.6, , , , , , 
10.4,0.3, 0.6, , , , , , 
10.42,0.3, 0.7, , , , , , 
10.44,0.4, 0.7, , , , , , 
10.46,0.4, 0.7, , , , , , 
10.48,0.3, 0.7, , , , , , 
10.5,0.3, 0.7, , , , , , 
10.52,0.3, 0.7, , , , , , 
10.54,0.3, 0.6, , , , , , 
10.56,0.3, 0.6, , , , , , 
10.58,0.3, 0.6, , , , , , 
10.6,0.3, 0.6, , , , , , 
10.62,0.3, 0.7, , , , , , 
10.64,0.3, 0.6, , , , , , 
10.66,0.3, 0.5, , , , , , 
10.68,0.4, 0.6, , , , , , 
10.7,0.3, 0.6, , , , , , 
10.72,0.3, 0.6, , , , , , 
10.74,0.3, 0.6, , , , , , 
10.76,0.4, 0.6, , , , , , 
10.78,0.4, 0.6, , , , , , 
10.8,0.4, 0.6, , , , , , 
10.82,0.3, 0.6, , , , , , 
10.84,0.3, 0.5, , , , , , 
10.86,0.3, 0.5, , , , , , 
10.88,0.3, 0.6, , , , , , 
10.9,0.3, 0.5, , , , , , 
10.92,0.3, 0.6, , , , , , 
10.94,0.2, 0.6, , , , , , 
10.96,0.2, 0.5, , , , , , 
10.98,0.3, 0.6, , , , , , 
11,0.3, 0.6, , , , , , 
11.02,0.3, 0.6, , , , , , 
11.04,0.3, 0.6, , , , , , 
11.06,0.3, 0.6, , , , , , 
11.08,0.3, 0.5, , , , , , 
11.1,0.3, 0.6, , , , , , 
11.12,0.3, 0.6, , , , , , 
11.14,0.3, 0.6, , , , , , 
11.16,0.3, 0.5, , , , , , 
11.18,0.3, 0.5, , , , , , 
11.2,0.3, 0.5, , , , , , 
11.22,0.3, 0.5, , , , , , 
11.24,0.3, 0.6, , , , , , 
11.26,0.3, 0.5, , , , , , 
11.28,0.3, 0.5, , , , , , 
11.3,0.3, 0.6, , , , , , 
11.32,0.3, 0.6, , , , , , 
11.34,0.2, 0.5, , , , , , 
11.36,0.2, 0.5, , , , , , 
11.38,0.2, 0.6, , , , , , 
11.4,0.3, 0.6, , , , , , 
11.42,0.3, 0.6, , , , , , 
11.44,0.3, 0.5, , , , , , 
11.46,0.2, 0.5, , , , , , 
11.48,0.2, 0.5, , , , , , 
11.5,0.3, 0.5, , , , , , 
11.52,0.3, 0.5, , , , , , 
11.54,0.2, 0.5, , , , , , 
11.56,0.2, 0.5, , , , , , 
11.58,0.3, 0.5, , , , , , 
11.6,0.3, 0.5, , , , , , 
11.62,0.3, 0.5, , , , , , 
11.64,0.3, 0.5, , , , , , 
11.66,0.3, 0.5, , , , , , 
11.68,0.3, 0.5, , , , , , 
11.7,0.3, 0.5, , , , , , 
11.72,0.3, 0.5, , , , , , 
11.74,0.3, 0.5, , , , , , 
11.76,0.3, 0.5, , , , , , 
11.78,0.3, 0.5, , , , , , 
11.8,0.3, 0.5, , , , , , 
11.82,0.2, 0.5, , , , , , 
11.84,0.2, 0.5, , , , , , 
11.86,0.3, 0.5, , , , , , 
11.88,0.2, 0.6, , , , , , 
11.9,0.2, 0.5, , , , , , 
11.92,0.3, 0.5, , , , , , 
11.94,0.3, 0.6, , , , , , 
11.96,0.3, 0.5, , , , , , 
11.98,0.3, 0.5, , , , , , 
12,0.3, 0.5, , , , , , 
12.02,0.3, 0.5, , , , , , 
12.04,0.3, 0.5, , , , , , 
12.06,0.3, 0.5, , , , , , 
12.08,0.3, 0.5, , , , , , 
12.1,0.3, 0.5, , , , , , 
12.12,0.3, 0.5, , , , , , 
12.14,0.3, 0.5, , , , , , 
12.16,0.3, 0.5, , , , , , 
12.18,0.3, 0.5, , , , , , 
12.2,0.3, 0.6, , , , , , 
12.22,0.3, 0.5, , , , , , 
12.24,0.3, 0.5, , , , , , 
12.26,0.2, 0.5, , , , , , 
12.28,0.3, 0.5, , , , , , 
12.3,0.3, 0.5, , , , , , 
12.32,0.3, 0.5, , , , , , 
12.34,0.3, 0.5, , , , , , 
12.36,0.3, 0.6, , , , , , 
12.38,0.3, 0.5, , , , , , 
12.4,0.3, 0.5, , , , , , 
12.42,0.3, 0.5, , , , , , 
12.44,0.3, 0.5, , , , , , 
12.46,0.3, 0.5, , , , , , 
12.48,0.3, 0.5, , , , , , 
12.5,0.3, 0.5, , , , , , 
12.52,0.3, 0.5, , , , , , 
12.54,0.3, 0.5, , , , , , 
12.56,0.3, 0.5, , , , , , 
12.58,0.3, 0.5, , , , , , 
12.6,0.3, 0.5, , , , , , 
12.62,0.3, 0.5, , , , , , 
12.64,0.3, 0.6, , , , , , 
