Time:2019/11/12 00:12:26.600 Elapsed Time Since Last Shot:48265ms
Observation Period:30s Sampling Interval:20ms
Shot:1188
Module  1:11171007 (MODULE1)
Data Attribute:30,20,PPPPPPPP
========================================
Elapsed Time,1:SENSOR1, 2:SENSOR2, 3:SENSOR3, 4:SENSOR4, 5:SENSOR5, 6:SENSOR6, 7:SENSOR7, 8:SENSOR8
0,0, 0, , , , , , 
0.02,0.7, 0.8, , , , , , 
0.04,0.7, 0.8, , , , , , 
0.06,0.7, 0.8, , , , , , 
0.08,0.6, 0.8, , , , , , 
0.1,0.7, 0.8, , , , , , 
0.12,0.7, 0.8, , , , , , 
0.14,0.6, 0.8, , , , , , 
0.16,0.6, 0.8, , , , , , 
0.18,0.6, 0.8, , , , , , 
0.2,0.6, 0.8, , , , , , 
0.22,0.5, 0.8, , , , , , 
0.24,0.5, 0.8, , , , , , 
0.26,0.5, 0.8, , , , , , 
0.28,0.5, 0.8, , , , , , 
0.3,0.5, 0.7, , , , , , 
0.32,0.5, 0.7, , , , , , 
0.34,0.5, 0.7, , , , , , 
0.36,0.5, 0.7, , , , , , 
0.38,0.5, 0.7, , , , , , 
0.4,0.5, 0.8, , , , , , 
0.42,0.5, 0.7, , , , , , 
0.44,0.5, 0.7, , , , , , 
0.46,0.5, 0.7, , , , , , 
0.48,0.5, 0.7, , , , , , 
0.5,0.5, 0.8, , , , , , 
0.52,0.5, 0.7, , , , , , 
0.54,0.4, 0.7, , , , , , 
0.56,0.4, 0.7, , , , , , 
0.58,0.4, 0.8, , , , , , 
0.6,0.4, 0.7, , , , , , 
0.62,0.4, 0.7, , , , , , 
0.64,0.3, 0.6, , , , , , 
0.66,0.3, 0.6, , , , , , 
0.68,0.4, 0.7, , , , , , 
0.7,0.4, 0.7, , , , , , 
0.72,0.3, 0.7, , , , , , 
0.74,0.4, 0.7, , , , , , 
0.76,0.4, 0.7, , , , , , 
0.78,0.4, 0.6, , , , , , 
0.8,0.4, 0.7, , , , , , 
0.82,0.3, 0.6, , , , , , 
0.84,0.4, 0.6, , , , , , 
0.86,0.4, 0.6, , , , , , 
0.88,0.3, 0.6, , , , , , 
0.9,0.3, 0.6, , , , , , 
0.92,0.3, 0.6, , , , , , 
0.94,0.3, 0.6, , , , , , 
0.96,0.3, 0.6, , , , , , 
0.98,0.3, 0.7, , , , , , 
1,0.3, 0.7, , , , , , 
1.02,0.3, 0.7, , , , , , 
1.04,0.3, 0.7, , , , , , 
1.06,0.2, 0.6, , , , , , 
1.08,0.3, 0.6, , , , , , 
1.1,0.3, 0.7, , , , , , 
1.12,0.3, 0.7, , , , , , 
1.14,0.3, 0.6, , , , , , 
1.16,0.3, 0.6, , , , , , 
1.18,0.4, 0.6, , , , , , 
1.2,0.3, 0.6, , , , , , 
1.22,0.3, 0.6, , , , , , 
1.24,0.3, 0.6, , , , , , 
1.26,0.3, 0.6, , , , , , 
1.28,0.3, 0.6, , , , , , 
1.3,0.3, 0.6, , , , , , 
1.32,0.3, 0.5, , , , , , 
1.34,0.4, 0.5, , , , , , 
1.36,0.3, 0.6, , , , , , 
1.38,0.3, 0.6, , , , , , 
1.4,0.3, 0.5, , , , , , 
1.42,0.3, 0.6, , , , , , 
1.44,0.4, 0.6, , , , , , 
1.46,0.3, 0.6, , , , , , 
1.48,0.2, 0.6, , , , , , 
1.5,0.2, 0.6, , , , , , 
1.52,0.3, 0.6, , , , , , 
1.54,0.3, 0.6, , , , , , 
1.56,0.3, 0.6, , , , , , 
1.58,0.3, 0.6, , , , , , 
1.6,0.3, 0.5, , , , , , 
1.62,0.3, 0.5, , , , , , 
1.64,0.3, 0.6, , , , , , 
1.66,0.3, 0.5, , , , , , 
1.68,0.3, 0.5, , , , , , 
1.7,0.2, 0.5, , , , , , 
1.72,0.2, 0.5, , , , , , 
1.74,0.2, 0.5, , , , , , 
1.76,0.2, 0.5, , , , , , 
1.78,0.2, 0.5, , , , , , 
1.8,0.2, 0.5, , , , , , 
1.82,0.3, 0.5, , , , , , 
1.84,0.3, 0.6, , , , , , 
1.86,0.2, 0.6, , , , , , 
1.88,0.2, 0.6, , , , , , 
1.9,0.2, 0.5, , , , , , 
1.92,0.2, 0.6, , , , , , 
1.94,0.1, 0.5, , , , , , 
1.96,0.1, 0.5, , , , , , 
1.98,0.2, 0.5, , , , , , 
2,0.2, 0.5, , , , , , 
2.02,0.2, 0.5, , , , , , 
2.04,0.1, 0.5, , , , , , 
2.06,0.1, 0.5, , , , , , 
2.08,0.1, 0.5, , , , , , 
2.1,0.2, 0.5, , , , , , 
2.12,0.2, 0.5, , , , , , 
2.14,0.2, 0.5, , , , , , 
2.16,0.2, 0.4, , , , , , 
2.18,0.2, 0.4, , , , , , 
2.2,0.2, 0.4, , , , , , 
2.22,0.3, 0.5, , , , , , 
2.24,0.2, 0.5, , , , , , 
2.26,0.2, 0.5, , , , , , 
2.28,0.2, 0.5, , , , , , 
2.3,0.2, 0.5, , , , , , 
2.32,0.1, 0.5, , , , , , 
2.34,0.1, 0.5, , , , , , 
2.36,0.1, 0.4, , , , , , 
2.38,0.2, 0.4, , , , , , 
2.4,0.1, 0.4, , , , , , 
2.42,0.1, 0.5, , , , , , 
2.44,0.1, 0.4, , , , , , 
2.46,0.1, 0.4, , , , , , 
2.48,0.2, 0.5, , , , , , 
2.5,0.2, 0.4, , , , , , 
2.52,0.2, 0.4, , , , , , 
2.54,0.2, 0.4, , , , , , 
2.56,0.1, 0.5, , , , , , 
2.58,0.2, 0.4, , , , , , 
2.6,0.1, 0.5, , , , , , 
2.62,0.1, 0.4, , , , , , 
2.64,0.2, 0.4, , , , , , 
2.66,0.1, 0.4, , , , , , 
2.68,0.1, 0.4, , , , , , 
2.7,0.2, 0.4, , , , , , 
2.72,0.2, 0.4, , , , , , 
2.74,0.1, 0.5, , , , , , 
2.76,0.1, 0.5, , , , , , 
2.78,0.1, 0.5, , , , , , 
2.8,0.1, 0.4, , , , , , 
2.82,0.1, 0.4, , , , , , 
2.84,0.1, 0.4, , , , , , 
2.86,0.1, 0.4, , , , , , 
2.88,0.1, 0.4, , , , , , 
2.9,0.1, 0.4, , , , , , 
2.92,0.1, 0.4, , , , , , 
2.94,0.1, 0.4, , , , , , 
2.96,0.1, 0.5, , , , , , 
2.98,0.1, 0.4, , , , , , 
3,0.1, 0.4, , , , , , 
3.02,0.1, 0.4, , , , , , 
3.04,0.1, 0.4, , , , , , 
3.06,0.1, 0.4, , , , , , 
3.08,0.2, 0.5, , , , , , 
3.1,0.1, 0.5, , , , , , 
3.12,0.1, 0.4, , , , , , 
3.14,0.1, 0.4, , , , , , 
3.16,0.1, 0.4, , , , , , 
3.18,0.1, 0.5, , , , , , 
3.2,0, 0.5, , , , , , 
3.22,0.1, 0.4, , , , , , 
3.24,0.1, 0.4, , , , , , 
3.26,0.1, 0.4, , , , , , 
3.28,0.1, 0.4, , , , , , 
3.3,0.2, 0.4, , , , , , 
3.32,0.2, 0.4, , , , , , 
3.34,0.2, 0.4, , , , , , 
3.36,0.1, 0.4, , , , , , 
3.38,0.1, 0.4, , , , , , 
3.4,0.2, 0.4, , , , , , 
3.42,0.2, 0.4, , , , , , 
3.44,0.2, 0.4, , , , , , 
3.46,0.2, 0.4, , , , , , 
3.48,0.1, 0.4, , , , , , 
3.5,0.1, 0.4, , , , , , 
3.52,0.1, 0.3, , , , , , 
3.54,0.1, 0.3, , , , , , 
3.56,0.1, 0.4, , , , , , 
3.58,0.2, 0.4, , , , , , 
3.6,0.2, 0.4, , , , , , 
3.62,0.1, 0.4, , , , , , 
3.64,0.1, 0.4, , , , , , 
3.66,0.1, 0.4, , , , , , 
3.68,0.1, 0.4, , , , , , 
3.7,0, 0.3, , , , , , 
3.72,0, 0.3, , , , , , 
3.74,0.1, 0.4, , , , , , 
3.76,0.1, 0.4, , , , , , 
3.78,0.1, 0.4, , , , , , 
3.8,0.1, 0.4, , , , , , 
3.82,0.1, 0.4, , , , , , 
3.84,0.2, 0.4, , , , , , 
3.86,0.2, 0.4, , , , , , 
3.88,0.2, 0.4, , , , , , 
3.9,0.1, 0.4, , , , , , 
3.92,0.1, 0.4, , , , , , 
3.94,0.1, 0.4, , , , , , 
3.96,0.1, 0.4, , , , , , 
3.98,0.1, 0.4, , , , , , 
