Time:2019/12/11 14:50:37.400 Elapsed Time Since Last Shot:58466ms
Observation Period:30s Sampling Interval:20ms
Shot:24438
Module  1:11171007 (MODULE1)
Data Attribute:30,20,PPPPPPPP
========================================
Elapsed Time,1:SENSOR1, 2:SENSOR2, 3:SENSOR3, 4:SENSOR4, 5:SENSOR5, 6:SENSOR6, 7:SENSOR7, 8:SENSOR8
0,0, 0, , , , , , 
0.02,1.2, 0.9, , , , , , 
0.04,1.1, 0.9, , , , , , 
0.06,1.1, 0.9, , , , , , 
0.08,1.1, 0.9, , , , , , 
0.1,1.1, 0.9, , , , , , 
0.12,1, 0.8, , , , , , 
0.14,1, 0.9, , , , , , 
0.16,1, 0.9, , , , , , 
0.18,1, 0.8, , , , , , 
0.2,1, 0.8, , , , , , 
0.22,1, 0.8, , , , , , 
0.24,1, 0.8, , , , , , 
0.26,1, 0.8, , , , , , 
0.28,1, 0.8, , , , , , 
0.3,0.9, 0.8, , , , , , 
0.32,0.9, 0.7, , , , , , 
0.34,0.9, 0.7, , , , , , 
0.36,0.9, 0.7, , , , , , 
0.38,1, 0.7, , , , , , 
0.4,0.9, 0.7, , , , , , 
0.42,0.9, 0.7, , , , , , 
0.44,0.8, 0.8, , , , , , 
0.46,0.9, 0.8, , , , , , 
0.48,0.8, 0.8, , , , , , 
0.5,0.9, 0.7, , , , , , 
0.52,0.9, 0.7, , , , , , 
0.54,0.9, 0.7, , , , , , 
0.56,0.9, 0.7, , , , , , 
0.58,0.8, 0.7, , , , , , 
0.6,0.8, 0.7, , , , , , 
0.62,0.8, 0.7, , , , , , 
0.64,0.8, 0.7, , , , , , 
0.66,0.7, 0.7, , , , , , 
0.68,0.7, 0.7, , , , , , 
0.7,0.7, 0.7, , , , , , 
0.72,0.8, 0.7, , , , , , 
0.74,0.7, 0.7, , , , , , 
0.76,0.7, 0.7, , , , , , 
0.78,0.8, 0.7, , , , , , 
0.8,0.7, 0.7, , , , , , 
0.82,0.8, 0.7, , , , , , 
0.84,0.7, 0.7, , , , , , 
0.86,0.7, 0.6, , , , , , 
0.88,0.7, 0.7, , , , , , 
0.9,0.7, 0.7, , , , , , 
0.92,0.7, 0.7, , , , , , 
0.94,0.7, 0.7, , , , , , 
0.96,0.7, 0.7, , , , , , 
0.98,0.7, 0.7, , , , , , 
1,0.7, 0.7, , , , , , 
1.02,0.6, 0.7, , , , , , 
1.04,0.6, 0.7, , , , , , 
1.06,0.7, 0.8, , , , , , 
1.08,0.7, 0.7, , , , , , 
1.1,0.7, 0.6, , , , , , 
1.12,0.6, 0.7, , , , , , 
1.14,0.7, 0.8, , , , , , 
1.16,0.6, 0.7, , , , , , 
1.18,0.6, 0.7, , , , , , 
1.2,0.6, 0.6, , , , , , 
1.22,0.6, 0.6, , , , , , 
1.24,0.6, 0.6, , , , , , 
1.26,0.6, 0.6, , , , , , 
1.28,0.6, 0.6, , , , , , 
1.3,0.6, 0.6, , , , , , 
1.32,0.6, 0.6, , , , , , 
1.34,0.6, 0.6, , , , , , 
1.36,0.6, 0.6, , , , , , 
1.38,0.6, 0.6, , , , , , 
1.4,0.6, 0.6, , , , , , 
1.42,0.6, 0.6, , , , , , 
1.44,0.6, 0.7, , , , , , 
1.46,0.6, 0.7, , , , , , 
1.48,0.6, 0.7, , , , , , 
1.5,0.6, 0.6, , , , , , 
1.52,0.6, 0.6, , , , , , 
1.54,0.6, 0.6, , , , , , 
1.56,0.6, 0.6, , , , , , 
1.58,0.6, 0.6, , , , , , 
1.6,0.6, 0.6, , , , , , 
1.62,0.5, 0.6, , , , , , 
1.64,0.5, 0.6, , , , , , 
1.66,0.5, 0.6, , , , , , 
1.68,0.5, 0.6, , , , , , 
1.7,0.6, 0.6, , , , , , 
1.72,0.6, 0.6, , , , , , 
1.74,0.5, 0.6, , , , , , 
1.76,0.5, 0.6, , , , , , 
1.78,0.5, 0.6, , , , , , 
1.8,0.6, 0.6, , , , , , 
1.82,0.6, 0.6, , , , , , 
1.84,0.6, 0.6, , , , , , 
1.86,0.6, 0.6, , , , , , 
1.88,0.5, 0.7, , , , , , 
1.9,0.5, 0.6, , , , , , 
1.92,0.5, 0.6, , , , , , 
1.94,0.5, 0.7, , , , , , 
1.96,0.5, 0.6, , , , , , 
1.98,0.5, 0.6, , , , , , 
2,0.5, 0.6, , , , , , 
2.02,0.5, 0.6, , , , , , 
2.04,0.5, 0.6, , , , , , 
2.06,0.5, 0.6, , , , , , 
2.08,0.5, 0.6, , , , , , 
2.1,0.5, 0.6, , , , , , 
2.12,0.5, 0.6, , , , , , 
2.14,0.6, 0.6, , , , , , 
2.16,0.5, 0.6, , , , , , 
2.18,0.5, 0.5, , , , , , 
2.2,0.5, 0.6, , , , , , 
2.22,0.5, 0.6, , , , , , 
2.24,0.5, 0.5, , , , , , 
2.26,0.5, 0.6, , , , , , 
2.28,0.5, 0.6, , , , , , 
2.3,0.5, 0.5, , , , , , 
2.32,0.5, 0.5, , , , , , 
2.34,0.5, 0.6, , , , , , 
2.36,0.5, 0.6, , , , , , 
2.38,0.5, 0.6, , , , , , 
2.4,0.5, 0.6, , , , , , 
2.42,0.4, 0.6, , , , , , 
2.44,0.5, 0.6, , , , , , 
2.46,0.5, 0.6, , , , , , 
2.48,0.5, 0.6, , , , , , 
2.5,0.5, 0.6, , , , , , 
2.52,0.4, 0.5, , , , , , 
2.54,0.5, 0.6, , , , , , 
2.56,0.5, 0.6, , , , , , 
2.58,0.5, 0.5, , , , , , 
2.6,0.5, 0.5, , , , , , 
2.62,0.5, 0.5, , , , , , 
2.64,0.5, 0.5, , , , , , 
2.66,0.5, 0.6, , , , , , 
2.68,0.5, 0.5, , , , , , 
2.7,0.4, 0.5, , , , , , 
2.72,0.4, 0.5, , , , , , 
2.74,0.4, 0.5, , , , , , 
2.76,0.5, 0.6, , , , , , 
2.78,0.4, 0.6, , , , , , 
2.8,0.4, 0.5, , , , , , 
2.82,0.5, 0.5, , , , , , 
2.84,0.4, 0.5, , , , , , 
2.86,0.5, 0.5, , , , , , 
2.88,0.5, 0.6, , , , , , 
2.9,0.5, 0.6, , , , , , 
2.92,0.5, 0.5, , , , , , 
2.94,0.5, 0.5, , , , , , 
2.96,0.5, 0.5, , , , , , 
2.98,0.5, 0.5, , , , , , 
3,0.5, 0.5, , , , , , 
3.02,0.5, 0.5, , , , , , 
3.04,0.4, 0.5, , , , , , 
3.06,0.5, 0.4, , , , , , 
3.08,0.5, 0.5, , , , , , 
3.1,0.5, 0.5, , , , , , 
3.12,0.5, 0.5, , , , , , 
3.14,0.5, 0.5, , , , , , 
3.16,0.5, 0.5, , , , , , 
3.18,0.5, 0.5, , , , , , 
3.2,0.4, 0.5, , , , , , 
3.22,0.4, 0.5, , , , , , 
3.24,0.4, 0.5, , , , , , 
3.26,0.4, 0.6, , , , , , 
3.28,0.4, 0.6, , , , , , 
3.3,0.4, 0.6, , , , , , 
3.32,0.4, 0.6, , , , , , 
3.34,0.4, 0.6, , , , , , 
3.36,0.4, 0.6, , , , , , 
3.38,0.4, 0.6, , , , , , 
3.4,0.4, 0.6, , , , , , 
3.42,0.4, 0.6, , , , , , 
3.44,0.5, 0.6, , , , , , 
3.46,0.4, 0.7, , , , , , 
3.48,0.4, 1.1, , , , , , 
3.5,0.4, 2.2, , , , , , 
3.52,0.4, 3.4, , , , , , 
3.54,0.4, 4.4, , , , , , 
3.56,0.4, 5, , , , , , 
3.58,0.5, 5.5, , , , , , 
3.6,0.5, 5.7, , , , , , 
3.62,0.5, 6, , , , , , 
3.64,0.4, 6.1, , , , , , 
3.66,0.5, 6.3, , , , , , 
3.68,0.4, 6.5, , , , , , 
3.7,0.4, 6.5, , , , , , 
3.72,0.4, 6.6, , , , , , 
3.74,0.4, 6.6, , , , , , 
3.76,0.4, 6.6, , , , , , 
3.78,0.4, 6.7, , , , , , 
3.8,0.4, 6.7, , , , , , 
3.82,0.3, 6.6, , , , , , 
3.84,0.4, 6.6, , , , , , 
3.86,0.4, 6.7, , , , , , 
3.88,0.4, 6.6, , , , , , 
3.9,0.4, 6.7, , , , , , 
3.92,0.4, 6.6, , , , , , 
3.94,0.4, 6.6, , , , , , 
3.96,0.4, 6.6, , , , , , 
3.98,0.4, 6.7, , , , , , 
4,0.4, 6.7, , , , , , 
4.02,0.4, 6.7, , , , , , 
4.04,0.5, 6.7, , , , , , 
4.06,0.4, 6.7, , , , , , 
4.08,0.4, 6.8, , , , , , 
4.1,0.4, 6.8, , , , , , 
4.12,0.4, 6.9, , , , , , 
4.14,0.4, 6.9, , , , , , 
4.16,0.3, 6.9, , , , , , 
4.18,0.4, 6.9, , , , , , 
4.2,0.4, 6.8, , , , , , 
4.22,0.4, 6.8, , , , , , 
4.24,0.3, 6.7, , , , , , 
4.26,0.4, 6.6, , , , , , 
4.28,0.4, 6.6, , , , , , 
4.3,0.4, 6.5, , , , , , 
4.32,0.4, 6.3, , , , , , 
4.34,0.4, 6.3, , , , , , 
4.36,0.4, 6.2, , , , , , 
4.38,0.3, 6.1, , , , , , 
4.4,0.3, 6, , , , , , 
4.42,0.3, 5.9, , , , , , 
4.44,0.4, 5.9, , , , , , 
4.46,0.4, 5.7, , , , , , 
4.48,0.4, 5.6, , , , , , 
4.5,0.4, 5.6, , , , , , 
4.52,0.4, 5.5, , , , , , 
4.54,0.4, 5.4, , , , , , 
4.56,0.3, 5.3, , , , , , 
4.58,0.4, 5.3, , , , , , 
4.6,0.3, 5.2, , , , , , 
4.62,0.3, 5.1, , , , , , 
4.64,0.3, 5, , , , , , 
4.66,0.2, 5, , , , , , 
4.68,0.3, 4.9, , , , , , 
4.7,0.3, 4.8, , , , , , 
4.72,0.3, 4.7, , , , , , 
4.74,0.3, 4.6, , , , , , 
4.76,0.4, 4.6, , , , , , 
4.78,0.4, 4.6, , , , , , 
4.8,0.3, 4.5, , , , , , 
4.82,0.3, 4.3, , , , , , 
4.84,0.3, 4.4, , , , , , 
4.86,0.3, 4.3, , , , , , 
4.88,0.4, 4.2, , , , , , 
4.9,0.4, 4.1, , , , , , 
4.92,0.4, 4.1, , , , , , 
4.94,0.3, 4.1, , , , , , 
4.96,0.4, 4, , , , , , 
4.98,0.4, 4, , , , , , 
5,0.3, 3.9, , , , , , 
5.02,0.3, 3.8, , , , , , 
5.04,0.3, 3.8, , , , , , 
5.06,0.3, 3.8, , , , , , 
5.08,0.3, 3.7, , , , , , 
5.1,0.3, 3.7, , , , , , 
5.12,0.3, 3.7, , , , , , 
5.14,0.3, 3.7, , , , , , 
5.16,0.3, 3.6, , , , , , 
5.18,0.3, 3.6, , , , , , 
5.2,0.3, 3.6, , , , , , 
5.22,0.3, 3.5, , , , , , 
5.24,0.3, 3.5, , , , , , 
5.26,0.3, 3.4, , , , , , 
5.28,0.3, 3.5, , , , , , 
5.3,0.3, 3.5, , , , , , 
5.32,0.3, 3.5, , , , , , 
5.34,0.3, 3.5, , , , , , 
5.36,0.3, 3.5, , , , , , 
5.38,0.3, 3.5, , , , , , 
5.4,0.4, 3.5, , , , , , 
5.42,0.2, 3.5, , , , , , 
5.44,0.3, 3.5, , , , , , 
5.46,0.3, 3.5, , , , , , 
5.48,0.3, 3.5, , , , , , 
5.5,0.3, 3.5, , , , , , 
5.52,0.3, 3.5, , , , , , 
5.54,0.3, 3.5, , , , , , 
